truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
1,2,5,5,1,0,1
1,2,7,7,2,0,1
1,2,7,7,2,0,1
1,2,8,8,3,0,1
1,2,7,7,2,0,1
1,2,5,5,1,0,1
1,2,8,8,3,0,1
1,2,5,5,1,0,1
1,2,5,5,1,0,1
1,2,3,3,4,0,1
1,2,3,3,4,0,1
1,2,5,5,1,0,1
1,2,5,5,1,0,1
1,2,7,7,2,0,1
1,2,3,3,4,0,1
1,2,8,8,1,0,1
1,2,3,3,4,0,1
1,2,3,3,3,0,1
1,2,3,3,4,0,1
1,2,3,3,3,0,1
1,2,7,7,2,0,1
1,2,8,8,1,0,1
1,2,3,3,4,0,1
1,2,3,3,4,0,1
1,2,7,7,4,0,1
1,2,7,7,4,0,1
1,2,5,5,1,0,1
1,2,5,5,1,0,1
1,2,5,5,1,0,1
1,2,8,8,1,0,1
1,2,5,5,1,0,1
1,2,5,5,1,0,1
1,2,7,7,4,0,1
1,2,5,5,1,0,1
1,2,8,8,3,0,1
1,2,8,8,1,0,1
1,2,7,7,2,0,1
1,2,7,7,2,0,1
1,2,5,5,1,0,1
1,2,3,3,4,0,1
1,2,5,5,1,0,1
1,2,7,7,4,0,1
1,2,7,7,2,0,1
1,2,5,5,1,0,1
1,2,3,3,4,0,1
1,2,7,7,4,0,1
1,2,3,3,4,0,1
1,2,8,8,3,0,1
1,2,8,8,3,0,1
1,2,8,8,3,0,1
1,2,7,7,2,0,1
1,2,8,8,3,0,1
1,2,8,8,1,0,1
1,2,3,3,3,0,1
1,2,3,3,3,0,1
1,2,5,5,1,0,1
1,2,3,3,4,0,1
1,2,8,8,3,0,1
1,2,3,3,4,0,1
1,2,7,7,2,0,1
1,2,8,8,3,0,1
1,2,3,3,4,0,1
1,2,5,5,1,0,1
1,2,3,3,4,0,1
1,2,8,8,1,0,1
1,2,7,7,2,0,1
1,2,7,7,4,0,1
1,2,7,7,4,0,1
1,2,7,7,2,0,1
1,2,7,7,2,0,1
1,2,7,7,4,0,1
1,2,7,7,2,0,1
1,2,3,3,3,0,1
1,2,5,5,1,0,1
1,2,3,3,4,0,1
1,2,5,5,1,0,1
1,2,5,5,1,0,1
1,2,7,7,2,0,1
1,2,3,3,4,0,1
1,2,3,3,3,0,1
1,2,8,8,3,0,1
1,2,7,7,4,0,1
1,2,7,7,4,0,1
1,2,3,3,4,0,1
1,2,8,8,1,0,1
1,2,8,8,1,0,1
1,2,5,5,1,0,1
1,2,3,3,4,0,1
1,2,5,5,1,0,1
1,2,7,7,2,0,1
1,2,7,7,4,0,1
1,2,8,8,1,0,1
1,2,3,3,4,0,1
1,2,7,7,2,0,1
1,2,7,7,4,0,1
1,2,5,5,1,0,1
1,2,7,7,4,0,1
1,2,3,3,3,0,1
1,2,8,8,1,0,1
1,2,5,5,1,0,1
1,2,5,5,1,0,1
1,2,8,8,1,0,1
1,2,7,7,2,0,1
1,2,5,5,1,0,1
1,2,3,3,3,0,1
1,2,8,8,1,0,1
1,2,3,3,4,0,1
1,2,7,7,4,0,1
1,2,5,5,1,0,1
1,2,5,5,1,0,1
1,2,7,7,2,0,1
1,2,3,3,3,0,1
1,2,3,3,4,0,1
1,2,5,5,1,0,1
1,2,7,7,2,0,1
1,2,3,3,4,0,1
1,2,3,3,3,0,1
1,2,8,8,3,0,1
1,2,7,7,2,0,1
1,2,3,3,4,0,1
1,2,5,5,1,0,1
1,2,7,7,2,0,1
1,2,3,3,4,0,1
1,2,3,3,3,0,1
1,2,5,5,1,0,1
1,2,7,7,4,0,1
1,2,3,3,3,0,1
1,2,7,7,2,0,1
1,2,7,7,2,0,1
1,2,7,3,4,0,1
1,2,3,3,4,0,1
1,2,5,5,1,0,1
1,2,3,3,3,0,1
1,2,3,3,3,0,1
1,2,7,7,4,0,1
1,2,7,7,2,0,1
1,2,3,3,4,0,1
1,2,5,5,1,0,1
1,2,5,5,1,0,1
1,2,5,5,1,0,1
1,2,8,8,1,0,1
1,2,7,7,2,0,1
1,2,3,3,3,0,1
1,2,5,5,1,0,1
1,2,8,8,3,0,1
1,2,3,3,3,0,1
1,2,3,3,3,0,1
1,2,8,8,1,0,1
1,2,8,8,1,0,1
1,2,3,3,4,0,1
1,2,8,8,3,0,1
1,2,5,5,1,0,1
1,2,7,7,2,0,1
1,2,3,3,4,0,1
1,2,7,7,4,0,1
1,2,7,7,2,0,1
1,2,7,7,2,0,1
1,2,8,8,1,0,1
1,2,3,3,4,0,1
1,2,3,3,4,0,1
1,2,3,3,4,0,1
1,2,7,7,2,0,1
1,2,3,3,4,0,1
1,2,5,5,1,0,1
1,2,8,8,3,0,1
1,2,7,7,4,0,1
1,2,8,8,1,0,1
1,2,8,8,1,0,1
1,2,5,5,1,0,1
1,2,3,3,4,0,1
1,2,3,3,4,0,1
1,2,5,5,1,0,1
1,2,3,3,4,0,1
1,2,3,3,4,0,1
1,2,5,5,1,0,1
1,2,7,7,2,0,1
1,2,3,3,3,0,1
1,2,8,8,1,0,1
1,2,8,8,1,0,1
1,2,3,3,3,0,1
1,2,8,8,1,0,1
1,2,5,5,1,0,1
1,2,7,7,4,0,1
1,2,8,8,1,0,1
1,2,3,3,4,0,1
1,2,5,5,1,0,1
1,2,3,3,4,0,1
1,2,3,3,4,0,1
1,2,7,7,4,0,1
1,2,7,7,2,0,1
1,2,5,5,1,0,1
1,2,5,5,1,0,1
1,2,3,3,4,0,1
1,2,7,7,2,0,1
1,2,7,7,4,0,1
1,2,5,5,1,0,1
1,2,3,3,4,0,1
1,2,7,7,2,0,1
1,2,8,8,3,0,1
1,2,7,7,4,0,1
2,4,4,4,5,2,2
2,4,2,2,6,2,2
2,4,2,2,6,2,2
2,4,4,4,5,2,2
2,4,2,2,6,2,2
2,4,4,4,5,2,2
2,4,2,2,6,2,2
2,4,4,9,7,2,2
2,4,4,4,5,2,2
2,4,4,9,7,2,2
2,4,4,4,5,2,2
2,4,2,2,6,2,2
2,4,4,4,5,2,2
2,4,4,9,7,2,2
2,4,4,9,7,2,2
2,4,4,4,5,2,2
2,4,4,9,5,2,2
2,4,2,2,6,2,2
2,4,4,9,7,2,2
2,4,4,4,5,2,2
2,4,2,2,6,2,2
2,4,4,9,5,2,2
2,4,4,9,7,2,2
2,4,4,4,5,2,2
2,4,4,4,5,2,2
2,4,4,9,7,2,2
2,4,4,9,7,2,2
2,4,4,4,5,2,2
2,4,2,2,6,2,2
2,4,4,9,7,2,2
2,4,2,2,6,2,2
2,4,2,2,6,2,2
2,4,4,4,5,2,2
2,4,4,4,5,2,2
2,4,4,9,7,2,2
2,4,4,4,5,2,2
2,4,4,9,7,2,2
2,4,4,9,7,2,2
2,4,2,2,6,2,2
2,4,4,9,7,2,2
2,4,2,2,6,2,2
2,4,2,2,6,2,2
2,4,4,4,5,2,2
2,4,4,9,7,2,2
2,4,4,4,5,2,2
2,4,4,9,7,2,2
2,4,4,4,5,2,2
2,4,4,4,5,2,2
2,4,4,9,7,2,2
2,4,4,4,5,2,2
2,4,2,2,6,2,2
2,4,4,9,7,2,2
2,4,4,4,5,2,2
2,4,2,2,6,2,2
2,4,4,9,7,2,2
2,4,4,4,5,2,2
2,4,2,2,6,2,2
2,4,4,9,7,2,2
2,4,2,2,6,2,2
2,4,4,9,5,2,2
2,4,2,2,6,2,2
2,4,2,2,6,2,2
2,4,4,4,5,2,2
2,4,4,9,7,2,2
2,4,2,2,6,2,2
2,4,2,2,6,2,2
2,4,2,2,6,2,2
2,4,2,2,6,2,2
2,4,2,2,6,2,2
2,4,2,2,6,2,2
2,4,4,4,5,2,2
2,4,4,9,7,2,2
2,4,2,2,6,2,2
2,4,4,9,7,2,2
2,4,4,4,5,2,2
2,4,4,9,7,2,2
2,4,4,4,5,2,2
2,4,2,2,6,2,2
2,4,4,9,7,2,2
2,4,2,2,6,2,2
2,4,4,4,5,2,2
2,4,2,2,6,2,2
2,4,2,2,6,2,2
2,4,4,4,5,2,2
2,4,4,9,7,2,2
2,4,4,4,5,2,2
2,4,2,2,6,2,2
2,4,4,9,7,2,2
2,4,4,9,7,2,2
2,4,4,9,7,2,2
2,4,4,4,5,2,2
2,4,4,4,5,2,2
2,4,4,4,5,2,2
2,4,2,2,6,2,2
2,4,4,4,5,2,2
2,4,4,4,5,2,2
2,4,4,4,5,2,2
2,4,2,2,6,2,2
2,4,2,2,6,2,2
2,4,4,4,5,2,2
3,5,6,6,8,1,3
3,5,6,6,9,1,3
3,5,1,1,9,1,3
3,5,6,6,9,1,3
3,5,4,1,10,1,3
3,5,6,6,8,1,3
3,5,6,6,9,1,3
3,5,1,1,9,1,3
3,5,1,1,9,1,3
3,5,6,6,9,1,3
3,5,6,6,9,1,3
3,5,1,1,9,1,3
3,5,6,6,9,1,3
3,5,1,1,9,1,3
3,5,1,1,9,1,3
3,5,6,6,9,1,3
3,5,1,1,9,1,3
3,5,1,1,9,1,3
3,5,6,6,9,1,3
3,5,6,6,9,1,3
3,5,1,1,9,1,3
3,5,6,6,8,1,3
3,5,6,6,9,1,3
3,5,6,6,8,1,3
3,5,6,6,9,1,3
3,5,6,1,9,1,3
3,5,6,6,9,1,3
3,5,6,6,9,1,3
3,5,6,6,8,1,3
3,5,1,1,9,1,3
3,5,6,6,9,1,3
3,5,1,1,9,1,3
3,5,6,6,8,1,3
3,5,1,1,9,1,3
3,5,1,1,9,1,3
3,5,6,6,9,1,3
3,5,1,1,10,1,3
3,5,1,1,9,1,3
3,5,1,1,9,1,3
3,5,6,6,9,1,3
3,5,1,1,9,1,3
3,5,1,1,9,1,3
3,5,6,6,9,1,3
3,5,6,6,9,1,3
3,5,1,1,9,1,3
3,5,1,1,9,1,3
3,5,6,1,9,1,3
3,5,6,6,9,1,3
3,5,6,6,9,1,3
3,5,1,1,9,1,3
3,5,1,1,9,1,3
3,5,6,6,9,1,3
3,5,1,1,9,1,3
3,5,6,6,8,1,3
3,5,1,1,9,1,3
3,5,6,6,9,1,3
3,5,6,6,9,1,3
3,5,1,1,9,1,3
3,5,1,1,9,1,3
3,5,1,1,9,1,3
3,5,1,1,9,1,3
3,5,1,1,9,1,3
3,5,6,6,9,1,3
3,5,6,6,9,1,3
3,5,6,6,9,1,3
3,5,6,6,9,1,3
3,5,1,1,9,1,3
3,5,6,6,8,1,3
3,5,6,6,9,1,3
3,5,6,6,9,1,3
3,5,1,1,9,1,3
3,5,6,6,9,1,3
3,5,6,6,9,1,3
3,5,6,6,9,1,3
3,5,6,6,9,1,3
3,5,1,1,9,1,3
3,5,6,6,9,1,3
3,5,6,6,9,1,3
3,5,6,6,9,1,3
3,5,6,6,9,1,3
3,5,1,1,9,1,3
3,5,1,1,9,1,3
3,5,6,6,9,1,3
3,5,6,1,9,1,3
3,5,1,1,9,1,3
3,5,1,1,9,1,3
3,5,6,1,9,1,3
3,5,1,1,9,1,3
3,5,1,1,9,1,3
3,5,1,1,9,1,3
3,5,1,1,9,1,3
3,5,1,1,9,1,3
3,5,6,6,9,1,3
3,5,6,6,9,1,3
3,5,1,1,9,1,3
3,5,1,1,9,1,3
3,5,6,6,9,1,3
3,5,6,6,9,1,3
3,5,1,1,9,1,3
3,5,6,6,9,1,3
