truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
1,2,5,7,1,0,1
1,2,3,8,2,0,1
1,2,3,8,2,0,1
1,2,6,2,3,0,1
1,2,3,8,2,0,1
1,2,5,7,1,0,1
1,2,6,2,3,0,1
1,2,5,7,1,0,1
1,2,5,7,1,0,1
1,2,6,1,4,0,1
1,2,6,1,4,0,1
1,2,5,7,1,0,1
1,2,5,7,1,0,1
1,2,3,8,2,0,1
1,2,6,1,4,0,1
1,2,5,2,1,0,1
1,2,6,1,4,0,1
1,2,6,1,3,0,1
1,2,6,1,4,0,1
1,2,6,1,3,0,1
1,2,3,8,2,0,1
1,2,5,2,1,0,1
1,2,6,1,4,0,1
1,2,6,1,4,0,1
1,2,3,8,4,0,1
1,2,3,8,4,0,1
1,2,5,7,1,0,1
1,2,5,7,1,0,1
1,2,5,7,1,0,1
1,2,5,2,1,0,1
1,2,5,7,1,0,1
1,2,5,7,1,0,1
1,2,3,8,4,0,1
1,2,5,7,1,0,1
1,2,6,2,3,0,1
1,2,5,2,1,0,1
1,2,3,8,2,0,1
1,2,3,8,2,0,1
1,2,5,7,1,0,1
1,2,6,1,4,0,1
1,2,5,7,1,0,1
1,2,3,8,4,0,1
1,2,3,8,2,0,1
1,2,5,7,1,0,1
1,2,6,1,4,0,1
1,2,3,8,4,0,1
1,2,6,1,4,0,1
1,2,5,2,3,0,1
1,2,6,2,3,0,1
1,2,6,2,3,0,1
1,2,3,8,2,0,1
1,2,6,2,3,0,1
1,2,5,2,1,0,1
1,2,6,1,3,0,1
1,2,6,1,3,0,1
1,2,5,7,1,0,1
1,2,6,1,4,0,1
1,2,6,2,3,0,1
1,2,6,1,4,0,1
1,2,3,8,2,0,1
1,2,6,2,3,0,1
1,2,6,1,4,0,1
1,2,5,7,1,0,1
1,2,6,1,4,0,1
1,2,5,2,1,0,1
1,2,3,8,2,0,1
1,2,3,8,4,0,1
1,2,3,8,4,0,1
1,2,3,8,2,0,1
1,2,3,8,2,0,1
1,2,3,8,4,0,1
1,2,3,8,2,0,1
1,2,6,1,3,0,1
1,2,5,7,1,0,1
1,2,6,1,4,0,1
1,2,5,7,1,0,1
1,2,5,7,1,0,1
1,2,3,8,2,0,1
1,2,3,1,4,0,1
1,2,6,1,3,0,1
1,2,6,2,3,0,1
1,2,3,8,4,0,1
1,2,3,8,4,0,1
1,2,6,1,4,0,1
1,2,5,2,1,0,1
1,2,5,2,1,0,1
1,2,5,7,1,0,1
1,2,6,1,4,0,1
1,2,5,7,1,0,1
1,2,3,8,2,0,1
1,2,3,8,4,0,1
1,2,5,2,1,0,1
1,2,6,1,4,0,1
1,2,3,8,2,0,1
1,2,3,8,4,0,1
1,2,5,7,1,0,1
1,2,3,8,4,0,1
1,2,6,1,3,0,1
1,2,5,2,1,0,1
1,2,5,7,1,0,1
1,2,5,7,1,0,1
1,2,5,2,1,0,1
1,2,3,8,2,0,1
1,2,5,7,1,0,1
1,2,6,1,3,0,1
1,2,5,2,1,0,1
1,2,6,1,4,0,1
1,2,3,8,4,0,1
1,2,5,7,1,0,1
1,2,5,7,1,0,1
1,2,3,8,2,0,1
1,2,6,1,3,0,1
1,2,6,1,4,0,1
1,2,5,7,1,0,1
1,2,3,8,2,0,1
1,2,6,1,4,0,1
1,2,6,1,3,0,1
1,2,6,2,3,0,1
1,2,3,8,2,0,1
1,2,6,1,4,0,1
1,2,5,7,1,0,1
1,2,3,8,2,0,1
1,2,3,1,4,0,1
1,2,6,1,3,0,1
1,2,5,7,1,0,1
1,2,3,8,4,0,1
1,2,6,1,3,0,1
1,2,3,8,2,0,1
1,2,3,8,2,0,1
1,2,3,1,4,0,1
1,2,6,1,4,0,1
1,2,5,7,1,0,1
1,2,6,1,3,0,1
1,2,6,1,3,0,1
1,2,3,8,4,0,1
1,2,3,8,2,0,1
1,2,6,1,4,0,1
1,2,5,7,1,0,1
1,2,5,7,1,0,1
1,2,5,7,1,0,1
1,2,5,2,1,0,1
1,2,3,8,2,0,1
1,2,6,1,3,0,1
1,2,5,7,1,0,1
1,2,6,2,3,0,1
1,2,6,1,3,0,1
1,2,6,1,3,0,1
1,2,5,2,1,0,1
1,2,5,2,1,0,1
1,2,6,1,4,0,1
1,2,6,2,3,0,1
1,2,5,7,1,0,1
1,2,3,8,2,0,1
1,2,6,1,4,0,1
1,2,3,8,4,0,1
1,2,3,8,2,0,1
1,2,3,8,2,0,1
1,2,5,2,1,0,1
1,2,6,1,4,0,1
1,2,6,1,4,0,1
1,2,6,1,4,0,1
1,2,3,8,2,0,1
1,2,3,1,4,0,1
1,2,5,7,1,0,1
1,2,5,2,3,0,1
1,2,3,8,4,0,1
1,2,5,2,1,0,1
1,2,5,2,1,0,1
1,2,5,7,1,0,1
1,2,6,1,4,0,1
1,2,6,1,4,0,1
1,2,5,7,1,0,1
1,2,6,1,4,0,1
1,2,6,1,4,0,1
1,2,5,7,1,0,1
1,2,3,8,2,0,1
1,2,6,1,3,0,1
1,2,5,2,1,0,1
1,2,5,2,1,0,1
1,2,6,1,3,0,1
1,2,5,2,1,0,1
1,2,5,7,1,0,1
1,2,3,8,4,0,1
1,2,5,2,1,0,1
1,2,6,1,4,0,1
1,2,5,7,1,0,1
1,2,6,1,4,0,1
1,2,6,1,4,0,1
1,2,3,8,4,0,1
1,2,3,8,2,0,1
1,2,5,7,1,0,1
1,2,5,7,1,0,1
1,2,6,1,4,0,1
1,2,3,8,2,0,1
1,2,3,8,4,0,1
1,2,5,7,1,0,1
1,2,6,1,4,0,1
1,2,3,8,2,0,1
1,2,6,2,3,0,1
1,2,3,8,4,0,1
2,4,1,3,5,1,2
2,4,4,3,6,1,2
2,4,4,4,6,1,2
2,4,1,3,5,1,2
2,4,4,4,6,1,2
2,4,4,3,5,1,2
2,4,4,4,6,1,2
2,4,1,5,7,1,2
2,4,1,3,5,1,2
2,4,1,5,7,1,2
2,4,1,3,5,1,2
2,4,4,4,6,1,2
2,4,1,5,5,1,2
2,4,1,5,7,1,2
2,4,1,5,7,1,2
2,4,1,3,5,1,2
2,4,1,5,5,1,2
2,4,4,4,6,1,2
2,4,1,5,7,1,2
2,4,4,3,5,1,2
2,4,4,4,6,1,2
2,4,1,5,5,1,2
2,4,1,5,7,1,2
2,4,4,3,5,1,2
2,4,4,3,5,1,2
2,4,1,5,7,1,2
2,4,1,5,7,1,2
2,4,1,3,5,1,2
2,4,4,4,6,1,2
2,4,1,5,7,1,2
2,4,4,4,6,1,2
2,4,4,4,6,1,2
2,4,1,3,5,1,2
2,4,1,3,5,1,2
2,4,1,5,7,1,2
2,4,1,5,5,1,2
2,4,1,5,7,1,2
2,4,1,5,7,1,2
2,4,4,4,6,1,2
2,4,1,5,7,1,2
2,4,4,4,6,1,2
2,4,4,4,6,1,2
2,4,1,5,5,1,2
2,4,1,5,7,1,2
2,4,1,3,5,1,2
2,4,1,5,7,1,2
2,4,4,3,5,1,2
2,4,1,5,5,1,2
2,4,1,5,7,1,2
2,4,1,3,5,1,2
2,4,4,4,6,1,2
2,4,1,5,7,1,2
2,4,1,3,5,1,2
2,4,4,4,6,1,2
2,4,1,5,7,1,2
2,4,1,3,5,1,2
2,4,4,4,6,1,2
2,4,1,5,7,1,2
2,4,4,4,6,1,2
2,4,1,5,5,1,2
2,4,4,4,6,1,2
2,4,4,4,6,1,2
2,4,1,3,5,1,2
2,4,1,5,7,1,2
2,4,4,4,6,1,2
2,4,4,4,6,1,2
2,4,4,4,6,1,2
2,4,4,4,6,1,2
2,4,4,4,6,1,2
2,4,4,4,6,1,2
2,4,4,3,5,1,2
2,4,1,5,7,1,2
2,4,4,4,6,1,2
2,4,1,5,7,1,2
2,4,1,3,5,1,2
2,4,1,5,7,1,2
2,4,1,3,5,1,2
2,4,4,4,6,1,2
2,4,1,5,7,1,2
2,4,4,4,6,1,2
2,4,1,3,5,1,2
2,4,4,4,6,1,2
2,4,4,4,6,1,2
2,4,1,3,5,1,2
2,4,1,5,7,1,2
2,4,1,3,5,1,2
2,4,4,4,6,1,2
2,4,1,5,7,1,2
2,4,1,5,7,1,2
2,4,1,5,7,1,2
2,4,1,3,5,1,2
2,4,1,3,5,1,2
2,4,1,5,5,1,2
2,4,4,4,6,1,2
2,4,1,3,5,1,2
2,4,1,3,5,1,2
2,4,1,3,5,1,2
2,4,4,4,6,1,2
2,4,4,4,6,1,2
2,4,4,3,5,1,2
3,5,2,6,8,2,3
3,5,2,6,9,2,3
3,5,2,9,9,2,3
3,5,2,6,9,2,3
3,5,2,9,10,2,3
3,5,2,6,8,2,3
3,5,2,6,9,2,3
3,5,2,9,9,2,3
3,5,2,9,9,2,3
3,5,2,6,9,2,3
3,5,2,6,9,2,3
3,5,2,9,9,2,3
3,5,2,6,9,2,3
3,5,2,9,9,2,3
3,5,2,9,9,2,3
3,5,2,6,9,2,3
3,5,2,9,9,2,3
3,5,2,9,9,2,3
3,5,2,6,9,2,3
3,5,2,6,9,2,3
3,5,2,9,9,2,3
3,5,2,6,8,2,3
3,5,2,6,9,2,3
3,5,2,6,8,2,3
3,5,2,6,9,2,3
3,5,2,9,9,2,3
3,5,2,6,9,2,3
3,5,2,6,9,2,3
3,5,2,6,8,2,3
3,5,2,9,9,2,3
3,5,2,6,9,2,3
3,5,2,9,9,2,3
3,5,2,6,8,2,3
3,5,2,9,9,2,3
3,5,2,9,9,2,3
3,5,2,6,9,2,3
3,5,2,9,10,2,3
3,5,2,9,9,2,3
3,5,2,9,9,2,3
3,5,2,6,9,2,3
3,5,2,9,9,2,3
3,5,2,9,9,2,3
3,5,2,6,9,2,3
3,5,2,6,9,2,3
3,5,2,9,9,2,3
3,5,2,9,9,2,3
3,5,2,9,9,2,3
3,5,2,6,9,2,3
3,5,2,6,9,2,3
3,5,2,9,9,2,3
3,5,2,9,9,2,3
3,5,2,6,9,2,3
3,5,2,9,9,2,3
3,5,2,6,8,2,3
3,5,2,9,9,2,3
3,5,2,6,9,2,3
3,5,2,6,9,2,3
3,5,2,9,9,2,3
3,5,2,9,9,2,3
3,5,2,9,9,2,3
3,5,2,9,9,2,3
3,5,2,9,9,2,3
3,5,2,6,9,2,3
3,5,2,6,9,2,3
3,5,2,6,9,2,3
3,5,2,6,9,2,3
3,5,2,9,9,2,3
3,5,2,6,8,2,3
3,5,2,6,9,2,3
3,5,2,6,9,2,3
3,5,2,9,9,2,3
3,5,2,6,9,2,3
3,5,2,6,9,2,3
3,5,2,6,9,2,3
3,5,2,6,9,2,3
3,5,2,9,9,2,3
3,5,2,6,9,2,3
3,5,2,6,9,2,3
3,5,2,6,9,2,3
3,5,2,6,9,2,3
3,5,2,9,9,2,3
3,5,2,9,9,2,3
3,5,2,6,9,2,3
3,5,2,9,9,2,3
3,5,2,9,9,2,3
3,5,2,9,9,2,3
3,5,2,9,9,2,3
3,5,2,9,9,2,3
3,5,2,9,9,2,3
3,5,2,9,9,2,3
3,5,2,9,9,2,3
3,5,2,9,9,2,3
3,5,2,6,9,2,3
3,5,2,6,9,2,3
3,5,2,9,9,2,3
3,5,2,9,9,2,3
3,5,2,6,9,2,3
3,5,2,6,9,2,3
3,5,2,9,9,2,3
3,5,2,6,9,2,3
