truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
1,6,6,2,1,2,1
1,4,5,1,2,1,1
1,4,5,1,2,1,1
1,5,1,2,2,4,1
1,4,5,1,2,1,1
1,6,6,2,1,2,1
1,5,1,2,2,4,1
1,6,6,2,1,2,1
1,6,6,2,1,2,1
1,5,1,1,2,4,1
1,5,1,1,2,4,1
1,6,6,2,1,2,1
1,6,6,2,1,2,1
1,4,5,1,2,1,1
1,5,1,1,2,4,1
1,6,6,2,1,2,1
1,5,1,1,2,4,1
1,5,1,1,2,4,1
1,5,1,1,2,4,1
1,5,1,1,2,4,1
1,4,5,1,2,1,1
1,6,6,2,1,2,1
1,5,1,1,2,4,1
1,5,1,1,2,4,1
1,4,5,1,2,1,1
1,4,5,1,2,4,1
1,6,6,2,1,2,1
1,6,6,2,1,2,1
1,6,6,2,1,2,1
1,6,6,2,1,2,1
1,6,6,2,1,2,1
1,6,6,2,1,2,1
1,4,5,1,2,4,1
1,6,6,2,1,2,1
1,5,1,2,2,4,1
1,6,6,2,1,2,1
1,4,5,1,2,1,1
1,4,5,1,2,1,1
1,6,6,2,1,2,1
1,5,1,1,2,4,1
1,6,6,2,1,2,1
1,4,5,1,2,4,1
1,4,5,1,2,1,1
1,6,6,2,1,2,1
1,5,1,1,2,4,1
1,4,5,1,2,4,1
1,5,1,1,2,4,1
1,6,6,2,2,2,1
1,5,1,2,2,4,1
1,5,1,2,2,4,1
1,4,5,1,2,1,1
1,5,1,2,2,4,1
1,6,6,2,1,2,1
1,5,1,1,2,4,1
1,5,1,1,2,4,1
1,6,6,2,1,2,1
1,5,1,1,2,4,1
1,5,1,2,2,4,1
1,5,1,1,2,4,1
1,4,5,1,2,1,1
1,5,1,2,2,4,1
1,5,1,1,2,4,1
1,6,6,2,1,2,1
1,5,1,1,2,4,1
1,6,6,2,1,2,1
1,4,5,1,2,1,1
1,4,5,1,2,4,1
1,4,5,1,2,1,1
1,4,5,1,2,1,1
1,4,5,1,2,1,1
1,4,5,1,2,1,1
1,4,5,1,2,1,1
1,5,1,1,2,4,1
1,6,6,2,1,2,1
1,5,1,1,2,4,1
1,6,6,2,1,2,1
1,6,6,2,1,2,1
1,4,5,1,2,1,1
1,4,5,1,2,4,1
1,5,1,1,2,4,1
1,5,1,2,2,4,1
1,4,5,1,2,1,1
1,4,5,1,2,1,1
1,5,1,1,2,4,1
1,6,6,2,1,2,1
