truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
5,3,1,7,1,2,2
4,4,2,5,2,2,2
6,8,1,4,3,3,2
3,9,2,3,4,3,2
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
1,7,1,1,5,1,1
