truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
5,2,3,3,1,1,2
4,3,2,2,2,2,2
6,2,6,6,3,1,2
3,3,1,1,4,2,2
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
1,3,4,4,5,3,1
5,2,3,3,1,1,2
4,3,2,2,2,2,2
6,2,6,6,3,1,2
3,3,1,1,4,2,2
2,3,3,3,5,1,2
2,3,7,7,5,2,2
2,3,6,6,5,1,2
2,3,6,6,5,1,2
2,3,3,3,5,1,2
2,3,4,2,5,2,2
2,3,3,3,5,1,2
2,3,6,5,5,0,2
2,3,4,3,5,1,2
2,3,5,5,5,0,2
2,3,3,3,5,1,2
2,3,6,6,5,1,2
2,3,4,2,5,2,2
2,3,5,5,5,0,2
2,3,2,2,5,2,2
2,3,3,3,5,1,2
2,3,2,2,5,2,2
2,3,4,3,5,1,2
2,3,5,5,5,0,2
2,3,2,2,5,2,2
2,3,2,2,5,2,2
2,3,7,7,5,2,2
2,3,5,5,5,0,2
2,3,2,2,5,2,2
2,3,6,6,5,1,2
2,3,2,2,5,2,2
2,3,2,2,5,2,2
2,3,1,1,5,0,2
2,3,7,7,5,2,2
2,3,6,6,5,1,2
2,3,3,3,5,1,2
2,3,2,2,5,2,2
2,3,2,2,5,2,2
2,3,6,5,5,0,2
2,3,6,6,5,1,2
2,3,2,2,5,2,2
2,3,3,3,5,1,2
2,3,4,2,5,2,2
2,3,7,7,5,2,2
2,3,3,3,5,1,2
2,3,4,2,5,2,2
2,3,5,5,5,0,2
2,3,4,3,5,1,2
2,3,7,7,5,2,2
2,3,3,3,5,1,2
2,3,6,6,5,1,2
2,3,6,5,5,0,2
2,3,7,7,5,2,2
2,3,1,1,5,2,2
2,3,5,5,5,0,2
2,3,1,1,5,0,2
2,3,6,6,5,1,2
2,3,7,7,5,2,2
2,3,5,5,5,0,2
2,3,7,7,5,2,2
2,3,2,2,5,2,2
2,3,1,1,5,2,2
2,3,1,1,5,2,2
2,3,1,1,5,0,2
2,3,3,3,5,1,2
2,3,6,6,5,1,2
2,3,3,3,5,1,2
2,3,6,6,5,1,2
2,3,3,3,5,1,2
2,3,7,7,5,2,2
2,3,6,6,5,1,2
2,3,2,2,5,2,2
2,3,4,2,5,1,2
2,3,1,1,5,0,2
2,3,5,5,5,0,2
2,3,1,1,5,0,2
2,3,1,1,5,2,2
2,3,6,6,5,1,2
2,3,5,5,5,0,2
2,3,1,1,5,2,2
2,3,7,7,5,2,2
2,3,7,7,5,2,2
2,3,2,2,5,2,2
2,3,3,3,5,1,2
2,3,2,2,5,2,2
2,3,4,2,5,2,2
2,3,6,5,5,0,2
2,3,7,7,5,2,2
2,3,7,7,5,2,2
2,3,7,7,5,2,2
2,3,2,2,5,2,2
2,3,5,5,5,0,2
2,3,7,7,5,2,2
2,3,6,6,5,1,2
2,3,2,2,5,2,2
2,3,5,5,5,0,2
2,3,6,6,5,1,2
2,3,6,6,5,1,2
2,3,2,2,5,2,2
2,3,5,5,5,0,2
2,3,1,1,5,2,2
2,3,5,5,5,0,2
2,3,2,2,5,2,2
2,3,5,5,5,0,2
2,3,3,3,5,1,2
2,3,6,6,5,1,2
2,3,6,6,5,1,2
2,3,6,3,5,1,2
2,3,3,3,5,1,2
2,3,3,3,5,1,2
2,3,6,6,5,1,2
2,3,2,2,5,2,2
2,3,5,5,5,0,2
2,3,6,6,5,1,2
2,3,5,5,5,0,2
2,3,3,3,5,1,2
2,3,3,3,5,1,2
2,3,2,2,5,2,2
2,3,3,3,5,1,2
2,3,4,3,5,1,2
2,3,6,6,5,1,2
2,3,5,5,5,0,2
2,3,3,3,5,1,2
2,3,5,5,5,0,2
2,3,3,3,5,1,2
2,3,7,7,5,2,2
2,3,3,3,5,1,2
2,3,6,6,5,1,2
2,3,1,1,5,0,2
2,3,6,6,5,1,2
2,3,7,7,5,2,2
2,3,3,3,5,1,2
2,3,3,3,5,1,2
2,3,1,1,5,2,2
2,3,6,6,5,1,2
2,3,4,3,5,1,2
2,3,5,5,5,0,2
2,3,1,1,5,2,2
2,3,6,6,5,1,2
2,3,1,1,5,2,2
2,3,1,1,5,2,2
2,3,5,5,5,0,2
2,3,2,2,5,2,2
2,3,3,3,5,1,2
2,3,6,5,5,0,2
2,3,7,7,5,2,2
2,3,5,5,5,0,2
2,3,3,3,5,1,2
2,3,7,7,5,2,2
2,3,1,1,5,2,2
2,3,1,1,5,2,2
2,3,5,5,5,0,2
2,3,5,5,5,0,2
2,3,2,2,5,2,2
2,3,3,3,5,1,2
2,3,7,7,5,2,2
2,3,1,1,5,2,2
2,3,4,3,5,1,2
2,3,1,1,5,2,2
2,3,1,1,5,2,2
2,3,3,3,5,1,2
2,3,6,6,5,1,2
2,3,7,7,5,2,2
2,3,3,3,5,1,2
2,3,6,6,5,1,2
2,3,7,7,5,2,2
2,3,6,6,5,1,2
2,3,2,2,5,2,2
2,3,1,1,5,2,2
2,3,2,2,5,2,2
2,3,7,7,5,2,2
2,3,3,3,5,1,2
2,3,1,1,5,2,2
2,3,6,5,5,0,2
2,3,6,6,5,1,2
2,3,5,5,5,0,2
2,3,3,3,5,1,2
2,3,7,7,5,2,2
2,3,3,3,5,1,2
2,3,3,3,5,1,2
2,3,4,2,5,2,2
2,3,6,6,5,1,2
2,3,4,2,5,2,2
2,3,1,1,5,2,2
2,3,7,7,5,2,2
2,3,3,3,5,1,2
2,3,3,3,5,1,2
2,3,6,5,5,0,2
2,3,7,7,5,2,2
2,3,3,3,5,1,2
2,3,3,3,5,1,2
2,3,7,7,5,2,2
2,3,6,6,5,1,2
2,3,5,5,5,0,2
2,3,3,3,5,1,2
2,3,6,6,5,1,2
2,3,1,1,5,0,2
2,3,5,5,5,0,2
2,3,5,5,5,0,2
2,3,6,6,5,1,2
2,3,1,5,5,0,2
2,3,5,5,5,0,2
2,3,6,6,5,1,2
2,3,7,7,5,2,2
2,3,5,5,5,0,2
2,3,7,7,5,2,2
2,3,3,3,5,1,2
2,3,2,2,5,2,2
2,3,1,1,5,2,2
2,3,5,5,5,0,2
2,3,5,5,5,0,2
2,3,2,2,5,2,2
2,3,6,6,5,1,2
2,3,6,6,5,1,2
2,3,7,7,5,2,2
2,3,2,2,5,2,2
2,3,1,1,5,2,2
2,3,4,2,5,2,2
2,3,7,7,5,2,2
2,3,7,7,5,2,2
2,3,3,3,5,1,2
2,3,7,7,5,2,2
2,3,1,1,5,0,2
2,3,3,3,5,1,2
2,3,7,7,5,2,2
2,3,2,2,5,2,2
2,3,3,3,5,1,2
2,3,6,6,5,1,2
2,3,3,3,5,1,2
2,3,3,3,5,1,2
2,3,6,6,5,1,2
2,3,5,5,5,0,2
2,3,6,6,5,1,2
2,3,2,2,5,2,2
2,3,5,5,5,0,2
2,3,1,1,5,2,2
2,3,5,5,5,0,2
2,3,1,1,5,0,2
2,3,7,7,5,2,2
2,3,2,2,5,2,2
2,3,1,1,5,0,2
2,3,5,5,5,0,2
2,3,7,7,5,2,2
2,3,5,5,5,0,2
2,3,7,7,5,2,2
2,3,1,1,5,0,2
2,3,1,1,5,2,2
2,3,4,3,5,1,2
2,3,5,5,5,0,2
2,3,1,1,5,2,2
2,3,4,2,5,2,2
2,3,2,2,5,2,2
2,3,5,5,5,0,2
2,3,1,1,5,2,2
2,3,4,2,5,2,2
2,3,7,7,5,2,2
2,3,6,6,5,1,2
2,3,3,3,5,1,2
2,3,3,3,5,1,2
2,3,4,2,5,2,2
2,3,1,1,5,2,2
2,3,6,5,5,0,2
2,3,1,1,5,0,2
2,3,3,3,5,1,2
2,3,6,6,5,1,2
2,3,3,3,5,1,2
2,3,1,1,5,2,2
2,3,1,1,5,2,2
2,3,1,1,5,0,2
2,3,7,7,5,2,2
2,3,5,5,5,0,2
2,3,3,3,5,1,2
2,3,2,2,5,2,2
2,3,3,3,5,1,2
2,3,7,7,5,2,2
2,3,2,2,5,2,2
2,3,6,6,5,1,2
2,3,3,3,5,1,2
2,3,6,6,5,0,2
2,3,2,2,5,2,2
2,3,1,1,5,2,2
2,3,3,3,5,1,2
2,3,6,5,5,0,2
2,3,4,2,5,2,2
2,3,2,2,5,2,2
2,3,4,2,5,2,2
2,3,3,3,5,1,2
2,3,1,1,5,2,2
2,3,7,7,5,2,2
2,3,3,3,5,1,2
2,3,7,7,5,2,2
2,3,7,7,5,2,2
2,3,6,6,5,1,2
2,3,6,6,5,1,2
2,3,2,2,5,2,2
2,3,5,5,5,0,2
2,3,1,1,5,2,2
2,3,5,5,5,0,2
2,3,2,2,5,2,2
2,3,5,5,5,0,2
2,3,6,6,5,1,2
2,3,5,5,5,0,2
2,3,4,2,5,2,2
2,3,1,1,5,2,2
2,3,7,7,5,2,2
2,3,1,1,5,2,2
2,3,5,5,5,0,2
2,3,5,5,5,0,2
2,3,3,3,5,1,2
2,3,1,1,5,0,2
2,3,5,5,5,0,2
2,3,6,6,5,1,2
2,3,6,6,5,1,2
2,3,3,3,5,1,2
2,3,4,2,5,2,2
2,3,1,1,5,2,2
2,3,1,1,5,2,2
2,3,1,1,5,2,2
2,3,6,6,5,1,2
2,3,2,2,5,2,2
2,3,5,5,5,0,2
2,3,4,3,5,1,2
2,3,4,2,5,2,2
2,3,2,2,5,2,2
2,3,6,5,5,0,2
2,3,5,5,5,0,2
2,3,4,2,5,2,2
2,3,5,5,5,0,2
2,3,6,6,5,1,2
2,3,7,7,5,2,2
2,3,4,2,5,2,2
2,3,3,3,5,1,2
2,3,5,5,5,0,2
2,3,6,6,5,1,2
2,3,5,5,5,0,2
2,3,6,6,5,1,2
2,3,2,2,5,2,2
2,3,3,3,5,1,2
2,3,1,1,5,0,2
2,3,6,5,5,0,2
2,3,7,7,5,2,2
2,3,3,3,5,1,2
2,3,4,3,5,1,2
2,3,3,3,5,1,2
2,3,7,7,5,2,2
2,3,5,5,5,0,2
2,3,3,3,5,1,2
2,3,6,6,5,1,2
2,3,3,3,5,1,2
2,3,7,7,5,2,2
2,3,2,2,5,2,2
2,3,4,3,5,1,2
2,3,2,2,5,2,2
2,3,6,6,5,0,2
2,3,1,1,5,2,2
2,3,2,2,5,2,2
2,3,3,3,5,1,2
2,3,7,7,5,2,2
2,3,2,2,5,2,2
2,3,5,5,5,0,2
2,3,4,3,5,1,2
2,3,1,1,5,2,2
2,3,1,1,5,2,2
2,3,2,2,5,2,2
2,3,1,1,5,2,2
2,3,5,5,5,0,2
2,3,2,2,5,2,2
2,3,3,3,5,1,2
5,2,3,3,1,1,2
4,3,2,2,2,2,2
6,2,6,6,3,1,2
3,3,1,1,4,2,2
