truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
5,2,2,7,1,4,2
4,3,8,8,2,5,4
6,2,9,9,2,4,3
3,3,1,1,2,0,3
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
1,3,3,3,2,7,1
