truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
1,6,4,4,1,2,1
2,5,1,1,2,1,2
2,5,1,1,2,1,2
2,5,1,1,2,1,2
2,5,1,1,2,1,2
2,5,1,1,2,1,2
2,5,1,1,2,1,2
