truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
1,2,7,7,1,4,1
1,2,8,7,1,4,1
1,2,8,7,1,4,1
1,2,8,7,1,4,1
1,2,8,7,1,4,1
1,2,3,8,1,9,2
1,2,3,3,2,6,2
1,2,3,3,2,6,2
1,2,3,3,2,6,3
1,2,3,3,2,6,3
1,2,3,3,2,6,3
1,2,7,7,1,4,1
1,2,7,7,1,4,1
1,2,8,7,1,4,1
1,2,8,7,1,4,1
1,2,8,8,1,4,2
1,2,8,8,1,9,2
1,2,3,8,1,9,2
1,2,3,3,2,6,2
1,2,3,3,2,6,3
1,2,3,3,2,6,3
1,2,3,3,2,6,3
1,2,7,7,3,4,1
1,2,7,7,1,4,1
1,2,7,7,1,4,1
1,2,8,7,1,4,1
1,2,8,8,1,4,2
1,2,8,8,1,9,2
1,2,8,8,1,9,2
1,2,3,3,2,9,4
1,2,3,3,2,6,3
1,2,3,3,2,6,3
1,2,3,3,2,6,4
1,2,7,7,3,4,1
1,2,7,7,3,4,1
1,2,7,7,1,4,1
1,2,7,7,1,4,2
1,2,8,8,1,4,2
1,2,8,8,1,9,2
1,2,8,8,1,9,2
1,2,8,3,1,9,4
1,2,3,3,2,9,4
1,2,3,3,2,6,4
1,2,3,3,2,6,4
1,2,7,7,3,4,1
1,2,7,7,3,4,1
1,2,7,7,3,4,1
1,2,4,8,1,4,2
1,2,4,8,1,4,2
1,2,8,8,1,9,2
1,2,8,8,1,9,2
1,2,8,8,1,9,2
1,2,8,3,2,9,4
1,2,3,3,2,9,4
1,2,10,3,2,9,4
1,2,7,7,3,5,1
1,2,7,7,3,5,1
1,2,4,4,3,5,1
1,2,4,8,4,5,2
1,2,4,8,1,4,2
1,2,4,8,1,0,2
1,2,8,8,5,9,2
1,2,8,10,5,9,2
1,2,8,10,5,9,2
1,2,10,10,5,9,2
1,2,10,10,2,9,2
1,2,7,4,3,5,2
1,2,4,4,3,5,2
1,2,4,4,3,5,2
1,2,4,4,3,5,2
1,2,4,4,4,5,2
1,2,4,8,4,0,2
1,2,4,10,4,0,2
