truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
1,3,1,4,1,6,1
1,3,1,4,1,6,1
1,3,1,4,1,6,1
1,3,1,4,1,8,1
1,3,1,4,1,8,1
1,3,1,4,1,8,1
1,3,1,4,2,8,1
1,3,1,3,2,8,1
1,3,1,3,2,8,1
1,3,1,3,3,7,1
1,3,1,3,3,5,1
1,3,1,3,3,5,1
1,3,1,3,3,5,1
2,2,2,3,4,5,2
2,2,2,3,4,5,2
2,2,2,3,4,5,2
2,2,2,3,4,3,2
2,2,2,3,4,3,2
2,2,2,3,4,3,2
2,2,2,3,5,3,2
2,2,2,4,5,3,2
2,2,2,4,5,3,2
2,2,2,4,6,0,2
2,2,2,4,6,6,2
2,2,2,4,6,6,2
2,2,2,4,6,6,2
1,3,1,4,1,6,1
2,2,2,3,4,5,2
1,3,1,4,1,8,1
2,2,2,3,4,3,2
1,3,1,3,2,8,1
2,2,2,4,5,3,2
1,3,1,4,1,8,1
2,2,2,3,4,3,2
1,3,1,4,1,6,1
2,2,2,3,4,5,2
1,3,1,3,2,8,1
2,2,2,4,5,3,2
1,3,1,4,1,8,1
2,2,2,3,4,3,2
1,3,1,4,1,6,1
2,2,2,3,4,5,2
1,3,1,4,1,8,1
2,2,2,3,4,3,2
1,3,1,4,1,8,1
2,2,2,3,4,3,2
1,3,1,3,2,8,1
2,2,2,4,5,3,2
1,3,1,4,1,8,1
2,2,2,3,4,3,2
1,3,1,4,1,8,1
2,2,2,3,4,3,2
1,3,1,4,1,8,1
2,2,2,3,4,3,2
1,3,1,3,3,5,1
2,2,2,4,6,6,2
1,3,1,4,1,6,1
2,2,2,3,4,5,2
1,3,1,4,1,8,1
2,2,2,3,4,3,2
1,3,1,3,3,7,1
2,2,2,4,6,0,2
1,3,1,4,1,6,1
2,2,2,3,4,5,2
1,3,1,4,1,6,1
2,2,2,3,4,5,2
1,3,1,4,1,6,1
2,2,2,3,4,5,2
1,3,1,4,1,6,1
2,2,2,3,4,5,2
1,3,1,3,2,8,1
2,2,2,4,5,3,2
1,3,1,4,1,6,1
2,2,2,3,4,5,2
1,3,1,3,2,8,1
2,2,2,4,5,3,2
1,3,1,4,1,8,1
2,2,2,3,4,3,2
1,3,1,4,1,6,1
2,2,2,3,4,5,2
1,3,1,4,1,8,1
2,2,2,3,4,3,2
1,3,1,3,3,7,1
2,2,2,4,6,0,2
1,3,1,4,1,8,1
2,2,2,3,4,3,2
1,3,1,3,3,7,1
2,2,2,4,6,0,2
1,3,1,4,1,6,1
2,2,2,3,4,5,2
1,3,1,4,1,8,1
2,2,2,3,4,3,2
1,3,1,3,3,7,1
2,2,2,4,6,0,2
1,3,1,4,1,6,1
2,2,2,3,4,5,2
1,3,1,4,1,6,1
2,2,2,3,4,5,2
1,3,1,4,1,8,1
2,2,2,3,4,3,2
1,3,1,4,1,8,1
2,2,2,3,4,3,2
1,3,1,4,1,6,1
2,2,2,3,4,5,2
1,3,1,4,2,8,1
2,2,2,3,5,3,2
1,3,1,4,1,8,1
2,2,2,3,4,3,2
1,3,1,3,2,8,1
2,2,2,4,5,3,2
1,3,1,3,3,8,1
2,2,2,4,6,3,2
1,3,1,4,1,6,1
2,2,2,3,4,5,2
1,3,1,3,3,7,1
2,2,2,4,6,0,2
1,3,1,4,1,6,1
2,2,2,3,4,5,2
1,3,1,4,2,8,1
2,2,2,3,5,3,2
1,3,1,4,1,6,1
2,2,2,3,4,5,2
1,3,1,3,3,7,1
2,2,2,4,6,0,2
1,3,1,4,1,8,1
2,2,2,3,4,3,2
1,3,1,4,1,6,1
2,2,2,3,4,5,2
1,3,1,4,1,8,1
2,2,2,3,4,3,2
1,3,1,4,1,6,1
2,2,2,3,4,5,2
1,3,1,4,1,6,1
2,2,2,3,4,5,2
1,3,1,4,1,6,1
2,2,2,3,4,5,2
1,3,1,4,1,8,1
2,2,2,3,4,3,2
1,3,1,4,1,6,1
2,2,2,3,4,5,2
1,3,1,3,2,8,1
2,2,2,4,5,3,2
1,3,1,3,2,8,1
2,2,2,4,5,3,2
1,3,1,4,2,8,1
2,2,2,3,5,3,2
1,3,1,4,1,8,1
2,2,2,3,4,3,2
1,3,1,4,1,8,1
2,2,2,3,4,3,2
1,3,1,4,2,8,1
2,2,2,3,5,3,2
1,3,1,4,1,8,1
2,2,2,3,4,3,2
1,3,1,4,1,8,1
2,2,2,3,4,3,2
1,3,1,3,2,8,1
2,2,2,4,5,3,2
1,3,1,4,1,8,1
2,2,2,3,4,3,2
1,3,1,4,1,6,1
2,2,2,3,4,5,2
1,3,1,4,1,8,1
2,2,2,3,4,3,2
1,3,1,4,1,8,1
2,2,2,3,4,3,2
1,3,1,4,1,6,1
2,2,2,3,4,5,2
1,3,1,4,1,6,1
2,2,2,3,4,5,2
1,3,1,4,1,6,1
2,2,2,3,4,5,2
1,3,1,4,1,6,1
2,2,2,3,4,5,2
1,3,1,4,1,6,1
2,2,2,3,4,5,2
1,3,1,3,2,8,1
2,2,2,4,5,3,2
1,3,1,4,1,8,1
2,2,2,3,4,3,2
1,3,1,4,1,6,1
2,2,2,3,4,5,2
1,3,1,4,1,8,1
2,2,2,3,4,3,2
1,3,1,4,1,8,1
2,2,2,3,4,3,2
1,3,1,3,2,8,1
2,2,2,4,5,3,2
1,3,1,4,1,8,1
2,2,2,3,4,3,2
1,3,1,4,1,8,1
2,2,2,3,4,3,2
1,3,1,4,1,8,1
2,2,2,3,4,3,2
1,3,1,3,2,8,1
2,2,2,4,5,3,2
1,3,1,4,1,6,1
2,2,2,3,4,5,2
