"seed","data","criterion","method","K","silhouette","dunn","ari_true","runtime","filename"
1,"Atom","dunnindex","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-dunnindex-seed1"
1,"Atom","dunnindex","ICOT_local",2,0.257823150501718,0.13687273124837,1.25158008073118e-05,4192.831560626,"Atom-dunnindex-seed1"
1,"Atom","dunnindex","OCT",3,0.441534002314097,0.0536282032498416,-10,0.380888995,"Atom-dunnindex-seed1"
1,"Atom","dunnindex","kmeans_plus",3,0.446194062968273,0.052142102954956,-10,2.527794032,"Atom-dunnindex-seed1"
1,"Atom","dunnindex","hclust",9,0.576283209451983,0.0972301957730685,-10,2.205329349,"Atom-dunnindex-seed1"
1,"Atom","dunnindex","gmm",8,0.567081024472932,0.0471970472863335,-10,0.250527423,"Atom-dunnindex-seed1"
1,"Atom","dunnindex","dbscan",1,-0.0597249434935304,0.0176214931762203,-10,1.240595483,"Atom-dunnindex-seed1"
2,"Atom","dunnindex","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-dunnindex-seed2"
2,"Atom","dunnindex","ICOT_local",2,0.257823150501718,0.13687273124837,1.25158008073118e-05,4464.525525889,"Atom-dunnindex-seed2"
2,"Atom","dunnindex","OCT",3,0.441534002314097,0.0536282032498416,-10,0.368989205,"Atom-dunnindex-seed2"
2,"Atom","dunnindex","kmeans_plus",3,0.446194062968273,0.052142102954956,-10,2.545075033,"Atom-dunnindex-seed2"
2,"Atom","dunnindex","hclust",9,0.576283209451983,0.0972301957730685,-10,2.381849303,"Atom-dunnindex-seed2"
2,"Atom","dunnindex","gmm",3,0.419325113905826,0.0537430486798184,-10,0.265239595,"Atom-dunnindex-seed2"
2,"Atom","dunnindex","dbscan",1,-0.0597249434935304,0.0176214931762203,-10,1.263780594,"Atom-dunnindex-seed2"
3,"Atom","dunnindex","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-dunnindex-seed3"
3,"Atom","dunnindex","ICOT_local",2,0.257823150501718,0.13687273124837,1.25158008073118e-05,4483.687249142,"Atom-dunnindex-seed3"
3,"Atom","dunnindex","OCT",3,0.442576946146258,0.0536282032498416,-10,0.390598399,"Atom-dunnindex-seed3"
3,"Atom","dunnindex","kmeans_plus",3,0.446194062968273,0.052142102954956,-10,2.545015299,"Atom-dunnindex-seed3"
3,"Atom","dunnindex","hclust",9,0.576283209451983,0.0972301957730685,-10,2.483570441,"Atom-dunnindex-seed3"
3,"Atom","dunnindex","gmm",9,0.569812118131474,0.0498671389838498,-10,0.271740459,"Atom-dunnindex-seed3"
3,"Atom","dunnindex","dbscan",1,-0.0597249434935304,0.0176214931762203,-10,1.274683036,"Atom-dunnindex-seed3"
4,"Atom","dunnindex","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-dunnindex-seed4"
4,"Atom","dunnindex","ICOT_local",2,0.257823150501718,0.13687273124837,1.25158008073118e-05,4323.886558434,"Atom-dunnindex-seed4"
4,"Atom","dunnindex","OCT",3,0.442576946146258,0.0536282032498416,-10,0.40481426,"Atom-dunnindex-seed4"
4,"Atom","dunnindex","kmeans_plus",3,0.446194062968273,0.052142102954956,-10,2.733415824,"Atom-dunnindex-seed4"
4,"Atom","dunnindex","hclust",9,0.576283209451983,0.0972301957730685,-10,2.26814508,"Atom-dunnindex-seed4"
4,"Atom","dunnindex","gmm",3,0.41938313665665,0.0480929311055705,-10,0.257273643,"Atom-dunnindex-seed4"
4,"Atom","dunnindex","dbscan",1,-0.0597249434935304,0.0176214931762203,-10,1.230795008,"Atom-dunnindex-seed4"
5,"Atom","dunnindex","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-dunnindex-seed5"
5,"Atom","dunnindex","ICOT_local",2,0.257823150501718,0.13687273124837,1.25158008073118e-05,4597.653734508,"Atom-dunnindex-seed5"
5,"Atom","dunnindex","OCT",3,0.441534002314097,0.0536282032498416,-10,0.38868566,"Atom-dunnindex-seed5"
5,"Atom","dunnindex","kmeans_plus",3,0.446194062968273,0.052142102954956,-10,2.608270962,"Atom-dunnindex-seed5"
5,"Atom","dunnindex","hclust",9,0.576283209451983,0.0972301957730685,-10,2.207905412,"Atom-dunnindex-seed5"
5,"Atom","dunnindex","gmm",3,0.364440818053443,0.0397197095883228,-10,0.257663131,"Atom-dunnindex-seed5"
5,"Atom","dunnindex","dbscan",1,-0.0597249434935304,0.0176214931762203,-10,1.305669737,"Atom-dunnindex-seed5"
1,"Atom","silhouette","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-silhouette-seed1"
1,"Atom","silhouette","ICOT_local",8,0.520575949687382,0.0277968945365854,-10,3795.007051826,"Atom-silhouette-seed1"
1,"Atom","silhouette","OCT",10,0.464143227552027,0.0264781454834692,-10,0.505070667,"Atom-silhouette-seed1"
1,"Atom","silhouette","kmeans_plus",10,0.613691066135672,0.0306303259602759,-10,2.281299674,"Atom-silhouette-seed1"
1,"Atom","silhouette","hclust",10,0.592659764621082,0.0745113561803146,-10,2.029938468,"Atom-silhouette-seed1"
1,"Atom","silhouette","gmm",8,0.567081024472932,0.0471970472863335,-10,0.225965331,"Atom-silhouette-seed1"
1,"Atom","silhouette","dbscan",0.8,-0.0119758941864208,0.0151986133759687,-10,0.783985379,"Atom-silhouette-seed1"
2,"Atom","silhouette","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-silhouette-seed2"
2,"Atom","silhouette","ICOT_local",8,0.520502219198302,0.0277968945365854,-10,4244.699952771,"Atom-silhouette-seed2"
2,"Atom","silhouette","OCT",10,0.500176255665662,0.0166126125769339,-10,0.566637728,"Atom-silhouette-seed2"
2,"Atom","silhouette","kmeans_plus",10,0.613312887864168,0.0311048280682212,-10,2.49735313,"Atom-silhouette-seed2"
2,"Atom","silhouette","hclust",10,0.592659764621082,0.0745113561803146,-10,2.150894674,"Atom-silhouette-seed2"
2,"Atom","silhouette","gmm",7,0.554286064133223,0.026344373553401,-10,0.225003105,"Atom-silhouette-seed2"
2,"Atom","silhouette","dbscan",0.8,-0.0119758941864208,0.0151986133759687,-10,0.825021853,"Atom-silhouette-seed2"
3,"Atom","silhouette","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-silhouette-seed3"
3,"Atom","silhouette","ICOT_local",8,0.520519552882949,0.0277968945365854,-10,4273.656142449,"Atom-silhouette-seed3"
3,"Atom","silhouette","OCT",10,0.48277115457094,0.0268139620833525,-10,0.610074694,"Atom-silhouette-seed3"
3,"Atom","silhouette","kmeans_plus",10,0.614832298886275,0.038604578722138,-10,2.494706544,"Atom-silhouette-seed3"
3,"Atom","silhouette","hclust",10,0.592659764621082,0.0745113561803146,-10,2.179951204,"Atom-silhouette-seed3"
3,"Atom","silhouette","gmm",9,0.569812118131474,0.0498671389838498,-10,0.232361647,"Atom-silhouette-seed3"
3,"Atom","silhouette","dbscan",0.8,-0.0119758941864208,0.0151986133759687,-10,1.016405496,"Atom-silhouette-seed3"
4,"Atom","silhouette","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-silhouette-seed4"
4,"Atom","silhouette","ICOT_local",8,0.520502219198302,0.0277968945365854,-10,4190.445622033,"Atom-silhouette-seed4"
4,"Atom","silhouette","OCT",10,0.489449779533288,0.0264408671515923,-10,0.615776799,"Atom-silhouette-seed4"
4,"Atom","silhouette","kmeans_plus",10,0.61497441759919,0.038604578722138,-10,2.63431866,"Atom-silhouette-seed4"
4,"Atom","silhouette","hclust",10,0.592659764621082,0.0745113561803146,-10,2.295269381,"Atom-silhouette-seed4"
4,"Atom","silhouette","gmm",10,0.569421524250431,0.0323720708452719,-10,0.236431812,"Atom-silhouette-seed4"
4,"Atom","silhouette","dbscan",0.8,-0.0119758941864208,0.0151986133759687,-10,0.836976987,"Atom-silhouette-seed4"
5,"Atom","silhouette","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-silhouette-seed5"
5,"Atom","silhouette","ICOT_local",8,0.520557356546254,0.0277968945365854,-10,4221.226513572,"Atom-silhouette-seed5"
5,"Atom","silhouette","OCT",10,0.470375723951312,0.0163834489968039,-10,0.559281374,"Atom-silhouette-seed5"
5,"Atom","silhouette","kmeans_plus",10,0.614643769388578,0.0228683150851142,-10,2.645438076,"Atom-silhouette-seed5"
5,"Atom","silhouette","hclust",10,0.592659764621082,0.0745113561803146,-10,2.402266333,"Atom-silhouette-seed5"
5,"Atom","silhouette","gmm",7,0.561925798072976,0.0310235964877894,-10,0.238715166,"Atom-silhouette-seed5"
5,"Atom","silhouette","dbscan",0.8,-0.0119758941864208,0.0151986133759687,-10,0.835728041,"Atom-silhouette-seed5"
1,"Chainlink","dunnindex","True",2,0.157634784984261,0.264920484035693,1,0,"Chainlink-dunnindex-seed1"
1,"Chainlink","dunnindex","ICOT_local",2,0.00455239839208024,0.0316822855122433,0,10908.530856007,"Chainlink-dunnindex-seed1"
1,"Chainlink","dunnindex","OCT",8,0.322707339773334,0.0107609174304672,-10,0.568550838,"Chainlink-dunnindex-seed1"
1,"Chainlink","dunnindex","kmeans_plus",8,0.496856011600862,0.0302325601325604,-10,3.33836006,"Chainlink-dunnindex-seed1"
1,"Chainlink","dunnindex","hclust",9,0.476574415389627,0.0373478629998151,-10,2.770843648,"Chainlink-dunnindex-seed1"
1,"Chainlink","dunnindex","gmm",6,0.319416901614077,0.016896546374942,-10,0.337949411,"Chainlink-dunnindex-seed1"
1,"Chainlink","dunnindex","dbscan",0.4,0.157634784984261,0.264920484035693,-10,0.808104186,"Chainlink-dunnindex-seed1"
2,"Chainlink","dunnindex","True",2,0.157634784984261,0.264920484035693,1,0,"Chainlink-dunnindex-seed2"
2,"Chainlink","dunnindex","ICOT_local",2,0.00455239839208024,0.0316822855122433,0,10664.259951259,"Chainlink-dunnindex-seed2"
2,"Chainlink","dunnindex","OCT",8,0.386889892962835,0.00550903205640156,-10,0.586377184,"Chainlink-dunnindex-seed2"
2,"Chainlink","dunnindex","kmeans_plus",8,0.497376570708463,0.0302325138948685,-10,3.269279557,"Chainlink-dunnindex-seed2"
2,"Chainlink","dunnindex","hclust",9,0.476574415389627,0.0373478629998151,-10,2.628801771,"Chainlink-dunnindex-seed2"
2,"Chainlink","dunnindex","gmm",7,0.316215159644097,0.016896546374942,-10,0.344764018,"Chainlink-dunnindex-seed2"
2,"Chainlink","dunnindex","dbscan",0.4,0.157634784984261,0.264920484035693,-10,0.686689705,"Chainlink-dunnindex-seed2"
3,"Chainlink","dunnindex","True",2,0.157634784984261,0.264920484035693,1,0,"Chainlink-dunnindex-seed3"
3,"Chainlink","dunnindex","ICOT_local",2,0.00455239839208024,0.0316822855122433,0,10414.259149164,"Chainlink-dunnindex-seed3"
3,"Chainlink","dunnindex","OCT",10,0.372936337784814,0.009365729061128,-10,0.842610958,"Chainlink-dunnindex-seed3"
3,"Chainlink","dunnindex","kmeans_plus",10,0.500516145413477,0.0302784478852165,-10,3.185007138,"Chainlink-dunnindex-seed3"
3,"Chainlink","dunnindex","hclust",9,0.476574415389627,0.0373478629998151,-10,2.658991579,"Chainlink-dunnindex-seed3"
3,"Chainlink","dunnindex","gmm",6,0.362108977812716,0.0161794097860718,-10,0.388425279,"Chainlink-dunnindex-seed3"
3,"Chainlink","dunnindex","dbscan",0.4,0.157634784984261,0.264920484035693,-10,0.712142015,"Chainlink-dunnindex-seed3"
4,"Chainlink","dunnindex","True",2,0.157634784984261,0.264920484035693,1,0,"Chainlink-dunnindex-seed4"
4,"Chainlink","dunnindex","ICOT_local",2,0.00455239839208024,0.0316822855122433,0,10642.322857468,"Chainlink-dunnindex-seed4"
4,"Chainlink","dunnindex","OCT",8,0.322707339773334,0.0107609174304672,-10,0.771255884,"Chainlink-dunnindex-seed4"
4,"Chainlink","dunnindex","kmeans_plus",8,0.497237351196446,0.0302325601325604,-10,3.197463771,"Chainlink-dunnindex-seed4"
4,"Chainlink","dunnindex","hclust",9,0.476574415389627,0.0373478629998151,-10,2.789974929,"Chainlink-dunnindex-seed4"
4,"Chainlink","dunnindex","gmm",7,0.380699991935625,0.0189311375508174,-10,0.311956981,"Chainlink-dunnindex-seed4"
4,"Chainlink","dunnindex","dbscan",0.4,0.157634784984261,0.264920484035693,-10,0.76655762,"Chainlink-dunnindex-seed4"
1,"Chainlink","silhouette","True",2,0.157634784984261,0.264920484035693,1,0,"Chainlink-silhouette-seed1"
1,"Chainlink","silhouette","ICOT_local",4,0.390961159440272,0.0176604268622038,-10,5738.54533675,"Chainlink-silhouette-seed1"
1,"Chainlink","silhouette","OCT",10,0.316476337677694,0.0153192312168552,-10,0.682131794,"Chainlink-silhouette-seed1"
1,"Chainlink","silhouette","kmeans_plus",10,0.50127463339641,0.0253854900852975,-10,3.324951128,"Chainlink-silhouette-seed1"
1,"Chainlink","silhouette","hclust",10,0.495714338045537,0.0373478629998151,-10,2.700962297,"Chainlink-silhouette-seed1"
1,"Chainlink","silhouette","gmm",9,0.406733213590969,0.00802793061352241,-10,0.28538732,"Chainlink-silhouette-seed1"
1,"Chainlink","silhouette","dbscan",0.1,0.16840106299247,0.0273915403771608,-10,0.722139999,"Chainlink-silhouette-seed1"
2,"Chainlink","silhouette","True",2,0.157634784984261,0.264920484035693,1,0,"Chainlink-silhouette-seed2"
