"seed","data","criterion","method","K","silhouette","dunn","ari_true","runtime","filename"
1,"Atom","dunnindex","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-dunnindex-seed1"
1,"Atom","dunnindex","ICOT_local",2,0.257823150501718,0.13687273124837,1.25158008073118e-05,390.599064422,"Atom-dunnindex-seed1"
1,"Atom","dunnindex","OCT",4,0.474678779100772,0.011328955248024,-10,0.446940276,"Atom-dunnindex-seed1"
1,"Atom","dunnindex","kmeans_plus",4,0.480138301420414,0.0536054710284627,-10,0.223240936,"Atom-dunnindex-seed1"
1,"Atom","dunnindex","hclust",9,0.576283209451983,0.0972301957730685,-10,2.068439627,"Atom-dunnindex-seed1"
1,"Atom","dunnindex","gmm",5,0.501125520805775,0.036656873215787,-10,0.232189444,"Atom-dunnindex-seed1"
1,"Atom","dunnindex","dbscan",0.4,0,Inf,-10,2.118809205,"Atom-dunnindex-seed1"
2,"Atom","dunnindex","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-dunnindex-seed2"
2,"Atom","dunnindex","ICOT_local",2,0.257823150501718,0.13687273124837,1.25158008073118e-05,392.904644772,"Atom-dunnindex-seed2"
2,"Atom","dunnindex","OCT",4,0.465657890230862,0.0112487580791155,-10,0.443633218,"Atom-dunnindex-seed2"
2,"Atom","dunnindex","kmeans_plus",4,0.480138301420414,0.0536054710284627,-10,0.252806822,"Atom-dunnindex-seed2"
2,"Atom","dunnindex","hclust",9,0.576283209451983,0.0972301957730685,-10,2.14250282,"Atom-dunnindex-seed2"
2,"Atom","dunnindex","gmm",5,0.501125520805775,0.036656873215787,-10,0.240666434,"Atom-dunnindex-seed2"
2,"Atom","dunnindex","dbscan",0.4,0,Inf,-10,2.183746563,"Atom-dunnindex-seed2"
3,"Atom","dunnindex","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-dunnindex-seed3"
3,"Atom","dunnindex","ICOT_local",2,0.257823150501718,0.13687273124837,1.25158008073118e-05,325.771764692,"Atom-dunnindex-seed3"
3,"Atom","dunnindex","OCT",4,0.465352403412268,0.0112487580791155,-10,0.463478419,"Atom-dunnindex-seed3"
3,"Atom","dunnindex","kmeans_plus",4,0.480138301420414,0.0536054710284627,-10,0.2494389,"Atom-dunnindex-seed3"
3,"Atom","dunnindex","hclust",9,0.576283209451983,0.0972301957730685,-10,2.230960076,"Atom-dunnindex-seed3"
3,"Atom","dunnindex","gmm",5,0.501125520805775,0.036656873215787,-10,0.240761034,"Atom-dunnindex-seed3"
3,"Atom","dunnindex","dbscan",0.4,0,Inf,-10,2.311250276,"Atom-dunnindex-seed3"
4,"Atom","dunnindex","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-dunnindex-seed4"
4,"Atom","dunnindex","ICOT_local",2,0.257823150501718,0.13687273124837,1.25158008073118e-05,265.816102517,"Atom-dunnindex-seed4"
4,"Atom","dunnindex","OCT",4,0.476908146960142,0.011328955248024,-10,0.405712005,"Atom-dunnindex-seed4"
4,"Atom","dunnindex","kmeans_plus",4,0.480138301420414,0.0536054710284627,-10,0.266073268,"Atom-dunnindex-seed4"
4,"Atom","dunnindex","hclust",9,0.576283209451983,0.0972301957730685,-10,2.049804674,"Atom-dunnindex-seed4"
4,"Atom","dunnindex","gmm",5,0.501125520805775,0.036656873215787,-10,0.225924696,"Atom-dunnindex-seed4"
4,"Atom","dunnindex","dbscan",0.4,0,Inf,-10,2.001936566,"Atom-dunnindex-seed4"
2,"Atom","silhouette","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-silhouette-seed2"
2,"Atom","silhouette","ICOT_local",8,0.513544133639796,0.0263677395202295,-10,92.001349891,"Atom-silhouette-seed2"
2,"Atom","silhouette","OCT",10,0.468698567399232,0.0260008534201303,-10,0.476991626,"Atom-silhouette-seed2"
2,"Atom","silhouette","kmeans_plus",10,0.609282828259881,0.0411704544473023,-10,0.21278897,"Atom-silhouette-seed2"
2,"Atom","silhouette","hclust",10,0.592659764621082,0.0745113561803146,-10,2.056772616,"Atom-silhouette-seed2"
2,"Atom","silhouette","gmm",8,0.56972513047869,0.0332477071663825,-10,0.208789777,"Atom-silhouette-seed2"
2,"Atom","silhouette","dbscan",0.9,0.00523991265507361,0.03870700907858,-10,0.294309393,"Atom-silhouette-seed2"
3,"Atom","silhouette","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-silhouette-seed3"
