"data","criterion","geom_threshold","warm_start","seed","runtime"
"Atom","dunnindex",0,"none",1,4518.539441805
"Atom","dunnindex",0,"none",2,4276.678931395
"Atom","dunnindex",0,"none",3,4637.97061634
"Atom","dunnindex",0,"none",4,4301.68851298
"Atom","dunnindex",0,"none",5,5113.396325281
"Atom","dunnindex",0,"oct",1,10337.777799359
"Atom","dunnindex",0,"oct",2,10800.071555689
"Atom","dunnindex",0,"oct",3,10642.317495067
"Atom","dunnindex",0,"oct",4,9898.701397481
"Atom","dunnindex",0,"oct",5,9208.024865444
"Atom","dunnindex",0.9,"none",1,2244.998831406
"Atom","dunnindex",0.9,"none",2,2180.034576797
"Atom","dunnindex",0.9,"none",3,2052.353218467
"Atom","dunnindex",0.9,"none",4,2606.362919564
"Atom","dunnindex",0.9,"none",5,2319.478219303
"Atom","dunnindex",0.9,"oct",1,1516.3768377
"Atom","dunnindex",0.9,"oct",2,1414.933769487
"Atom","dunnindex",0.9,"oct",3,1717.3593134
"Atom","dunnindex",0.9,"oct",4,1427.920989878
"Atom","dunnindex",0.9,"oct",5,1422.216085486
"Atom","dunnindex",0.99,"none",1,1835.564197567
"Atom","dunnindex",0.99,"none",2,1968.705880938
"Atom","dunnindex",0.99,"none",3,1815.134411496
"Atom","dunnindex",0.99,"none",4,2009.349235385
"Atom","dunnindex",0.99,"none",5,1888.873769684
"Atom","dunnindex",0.99,"oct",1,284.014010069
"Atom","dunnindex",0.99,"oct",2,202.488048877
"Atom","dunnindex",0.99,"oct",3,388.549782235
"Atom","dunnindex",0.99,"oct",4,176.002356778
"Atom","dunnindex",0.99,"oct",5,270.613287495
"Atom","silhouette",0,"none",1,4682.599569644
"Atom","silhouette",0,"none",2,4334.353688443
"Atom","silhouette",0,"none",3,4280.310180739
"Atom","silhouette",0,"none",4,4595.418229728
"Atom","silhouette",0,"none",5,4722.6240573
"Atom","silhouette",0,"oct",1,2649.368121059
"Atom","silhouette",0,"oct",2,2676.625919519
"Atom","silhouette",0,"oct",3,3261.160878171
"Atom","silhouette",0,"oct",4,2618.777756593
"Atom","silhouette",0,"oct",5,2823.194011711
"Atom","silhouette",0.9,"none",1,1557.450000517
"Atom","silhouette",0.9,"none",2,1378.133415866
"Atom","silhouette",0.9,"none",3,1379.172590449
"Atom","silhouette",0.9,"none",4,1348.323450508
"Atom","silhouette",0.9,"none",5,1346.368434627
"Atom","silhouette",0.9,"oct",1,645.700111809
"Atom","silhouette",0.9,"oct",2,601.378896844
"Atom","silhouette",0.9,"oct",3,832.274964008
"Atom","silhouette",0.9,"oct",4,668.194317524
"Atom","silhouette",0.9,"oct",5,598.336992886
"Atom","silhouette",0.99,"none",1,671.964722302
"Atom","silhouette",0.99,"none",2,608.97213412
"Atom","silhouette",0.99,"none",3,624.065707609
"Atom","silhouette",0.99,"none",4,678.627981359
"Atom","silhouette",0.99,"none",5,706.174932062
"Atom","silhouette",0.99,"oct",1,130.051468651
"Atom","silhouette",0.99,"oct",2,114.787747022
"Atom","silhouette",0.99,"oct",3,213.913210716
"Atom","silhouette",0.99,"oct",4,114.830018822
"Atom","silhouette",0.99,"oct",5,86.109373844
"Chainlink","dunnindex",0,"none",1,10919.158612927
"Chainlink","dunnindex",0,"none",2,8946.62189928
"Chainlink","dunnindex",0,"none",3,10427.349615129
"Chainlink","dunnindex",0,"none",4,10470.050687527
"Chainlink","dunnindex",0,"none",5,9741.952986681
"Chainlink","dunnindex",0,"oct",1,14344.884987936
"Chainlink","dunnindex",0,"oct",2,10083.95372203
"Chainlink","dunnindex",0,"oct",3,8723.049166338
"Chainlink","dunnindex",0,"oct",4,10694.482339661
"Chainlink","dunnindex",0,"oct",5,9021.599874887
"Chainlink","dunnindex",0.9,"none",1,6856.366501175
"Chainlink","dunnindex",0.9,"none",2,6577.619696485
"Chainlink","dunnindex",0.9,"none",3,6546.143720713
"Chainlink","dunnindex",0.9,"none",4,6086.108911989
"Chainlink","dunnindex",0.9,"none",5,6593.920081834
